date,open,high,low,close,volume
2014-10-10,16.9651,17.0835,16.7497,16.7595,2165099
2014-10-13,16.7791,16.8868,16.6029,16.6225,1899045
2014-10-14,16.691,16.828,16.6078,16.691,1945610
2014-10-15,16.7204,16.7399,16.3091,16.6812,4471481
2014-10-16,16.2211,16.6567,16.2211,16.5344,1940534
2014-10-17,16.7889,16.9161,16.7448,16.877,1706307
2014-10-20,17.0042,17.1609,16.9847,17.1609,1325802
2014-10-21,17.0042,17.1119,16.9357,17.063,5627356
2014-10-22,17.4056,17.4839,17.2441,17.2588,2486551
2014-10-23,17.4154,17.6014,17.3665,17.4937,1744763
2014-10-24,17.2881,17.3469,17.1707,17.3469,1419494
2014-10-27,17.063,17.1315,17.0042,17.1119,2122222
2014-10-28,17.2196,17.3665,17.1315,17.3469,1364136
2014-10-29,18.0811,18.13,17.8461,17.9734,2978856
2014-10-30,19.9117,20.0781,19.8725,19.9802,2159175
2014-10-31,18.6978,19.481,18.6978,19.4027,7399240
2014-11-03,19.2264,19.7453,19.2167,19.7355,6254717
2014-11-04,19.6963,19.8628,19.5054,19.5887,5106695
2014-11-05,19.8236,19.9509,19.7159,19.7551,2349316
2014-11-06,19.1971,19.3439,19.1041,19.2852,2686982
2014-11-07,19.1971,19.2459,19.109,19.2069,2422389
2014-11-10,20.0194,20.1662,19.9509,20.0683,2790486
2014-11-11,20.0683,20.2739,20.0096,20.2739,3112487
2014-11-12,19.9998,20.2445,19.9998,20.1956,2726136
2014-11-13,19.9117,20.0781,19.8725,19.9802,2160175
2014-11-14,20.176,20.2543,20.1075,20.2054,1174644
2014-11-17,19.7649,20.0488,19.7649,19.8334,1950563
2014-11-18,20.6753,20.8515,20.6361,20.8123,3330522
2014-11-19,20.4599,20.4599,20.3131,20.3718,2210508
2014-11-20,19.9411,20.1173,19.8628,20.0488,1990300
2014-11-21,20.6655,20.9494,20.4599,20.7928,2882857
2014-11-24,20.7732,21.2724,20.7732,21.1745,5601458
2014-11-25,21.4291,21.527,21.3312,21.4682,2830165
2014-11-26,21.1452,21.2431,21.1158,21.2333,1829700
2014-11-28,21.4389,21.5857,21.4095,21.527,1721130
2014-12-01,21.7815,21.85,21.6444,21.6836,4435276
2014-12-02,21.6053,21.7032,21.478,21.4976,2609581
2014-12-03,21.4095,21.6053,21.2822,21.4878,3267831
2014-12-04,21.5759,21.6836,21.4976,21.6542,2241573
2014-12-05,21.7423,21.8304,21.6395,21.6934,1841712
2014-12-08,20.9592,21.0179,20.6851,20.7047,2559619
2014-12-09,20.1467,20.2935,20.0292,20.2641,3003127
2014-12-10,20.5774,20.6165,20.318,20.3522,1841227
2014-12-11,20.4305,20.6312,20.2739,20.3033,1912466
2014-12-12,20.0683,20.1271,19.9019,19.9019,2410921
2014-12-15,19.5201,19.5789,19.295,19.3048,4448188
2014-12-16,19.3635,19.5838,19.295,19.3048,2335477
2014-12-17,19.7159,20.0781,19.7061,19.9607,2241989
2014-12-18,20.6851,20.8123,20.597,20.6949,2641487
2014-12-19,20.2348,20.362,20.0977,20.1467,1565638
2014-12-22,20.362,20.4501,20.2641,20.3424,1292035
2014-12-23,20.4403,20.548,20.3327,20.4208,1806782
2014-12-24,20.783,20.9494,20.7732,20.8711,1357795
2014-12-26,20.9298,20.9298,20.7634,20.8221,1107977
2014-12-29,20.7634,20.8221,20.6557,20.7242,1107500
2014-12-30,20.1662,20.176,20.0977,20.1467,1575455
2014-12-31,20.2739,20.2739,20.0341,20.039,846198
